scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
65,41.046143,23.117065,1,37.17041,12.588501,1,49.1475257873535,11.8477649688721,1,44.708252,-4.562378,1,50.811768,-7.2631836,1,55.725098,-8.178711,1
66,40.924072,22.67456,1,37.200928,11.978149,1,49.1788864135742,11.2511653900146,1,44.906616,-5.203247,1,50.994873,-8.43811,1,55.95398,-9.933472,1
67,40.756226,22.094727,1,37.109375,11.444092,1,49.0776786804199,10.5724716186523,1,44.387817,-5.7678223,1,50.27771,-8.605957,1,56.96106,-10.879517,1
68,40.618896,21.54541,1,36.94153,10.925293,1,48.9171752929687,10.1611337661743,1,43.823242,-6.0577393,1,49.606323,-8.7890625,1,56.33545,-10.971069,1
69,40.359497,21.118164,1,36.727905,10.513306,1,48.7145004272461,9.94627189636231,1,43.24341,-6.149292,1,49.02649,-8.911133,1,53.848267,-9.979248,1
70,40.100098,20.812988,1,36.331177,10.192871,1,48.3192481994629,9.65792369842529,1,42.633057,-6.362915,1,48.446655,-9.033203,1,53.55835,-10.192871,1
71,39.871216,20.462036,1,36.05652,9.841919,1,48.0471534729004,9.36798095703125,1,42.06848,-6.5460205,1,47.805786,-9.0789795,1,52.719116,-10.147095,1
72,39.718628,20.095825,1,35.78186,9.475708,1,47.7764053344727,9.11397075653076,1,41.534424,-6.6986084,1,47.225952,-9.170532,1,52.1698,-10.192871,1
73,39.55078,19.744873,1,35.629272,9.155273,1,47.626651763916,8.90457153320313,1,40.985107,-6.744385,1,46.676636,-9.262085,1,51.55945,-10.192871,1
74,39.44397,19.40918,1,35.491943,8.834839,1,47.4907722473145,8.66709232330322,1,40.481567,-6.8206787,1,46.066284,-9.307861,1,51.16272,-10.421753,1
75,39.505005,19.16504,1,35.41565,8.666992,1,47.4138488769531,8.45900535583496,1,39.993286,-6.8359375,1,45.547485,-9.307861,1,50.41504,-10.284424,1
