scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,-20.614624,18.600464,1,-27.60315,13.870239,1,-17.1695556640625,10.3859672546387,1,-16.281128,-3.5858154,1,-9.277344,-4.3792725,1,-4.9591064,-4.425049,1
63,-21.072388,18.585205,1,-27.923584,13.778687,1,-17.5043125152588,10.2518215179443,1,-16.098022,-3.6773682,1,-9.0789795,-4.5928955,1,-4.776001,-4.714966,1
64,-21.453857,18.447876,1,-28.320312,13.641357,1,-17.9045162200928,10.1042432785034,1,-15.914917,-3.753662,1,-8.865356,-4.8675537,1,-4.6844482,-5.0964355,1
65,-21.865845,18.341064,1,-28.717041,13.61084,1,-18.3935012817383,9.8128776550293,1,-15.838623,-3.9520264,1,-8.773804,-5.2948,1,-4.623413,-5.569458,1
66,-22.354126,18.203735,1,-29.083252,13.442993,1,-18.7713813781738,9.61346054077148,1,-15.975952,-4.1046143,1,-8.865356,-5.8135986,1,-4.7302246,-6.2408447,1
67,-22.827148,18.02063,1,-29.510498,13.397217,1,-19.2283000946045,9.48871517181397,1,-16.204834,-4.180908,1,-9.140015,-6.362915,1,-5.1574707,-6.8969727,1
68,-23.284912,17.837524,1,-29.98352,13.198853,1,-19.7163314819336,9.2510871887207,1,-16.586304,-4.3945312,1,-9.613037,-6.80542,1,-5.706787,-7.5683594,1
69,-23.81897,17.669678,1,-30.48706,13.122559,1,-20.2721214294434,9.04150295257568,1,-17.028809,-4.5776367,1,-10.177612,-7.30896,1,-6.2561035,-8.300781,1
70,-24.32251,17.440796,1,-30.960083,12.924194,1,-20.7779941558838,8.76185607910156,1,-17.578125,-4.8675537,1,-10.925293,-7.949829,1,-7.003784,-9.185791,1
71,-24.856567,17.150879,1,-31.570435,12.72583,1,-21.4669075012207,8.37626075744629,1,-18.249512,-5.2490234,1,-11.795044,-8.7890625,1,-7.9193115,-10.345459,1
72,-25.436401,16.799927,1,-32.073975,12.496948,1,-22.0788192749023,7.90381479263306,1,-19.134521,-5.783081,1,-12.863159,-9.613037,1,-8.987427,-11.09314,1
