,IliacCrest_x,IliacCrest_y,IliacCrest_likelihood,Hip_x,Hip_y,Hip_likelihood,Knee_x,Knee_y,Knee_likelihood,Ankle_x,Ankle_y,Ankle_likelihood,Metatarsal_x,Metatarsal_y,Metatarsal_likelihood,ToeTip_x,ToeTip_y,ToeTip_likelihood
538,1.0375977,11.810303,1,-6.591797,4.623413,1,1.7901058197021484,-2.500048875808716,1,-9.933472,-8.117676,1,-5.0354004,-11.795044,1,1.9683838,-12.084961,1
539,0.5493164,11.627197,1,-7.003784,4.5166016,1,1.3962411880493164,-2.585479974746704,1,-10.4522705,-7.9345703,1,-5.508423,-11.734009,1,1.3427734,-12.1154785,1
540,0.16784668,11.505127,1,-7.4768066,4.3792725,1,0.9336166381835938,-2.710491418838501,1,-11.016846,-7.827759,1,-6.1950684,-11.642456,1,0.7019043,-12.130737,1
541,-0.33569336,11.413574,1,-7.9956055,4.3029785,1,0.38614368438720703,-2.820664644241333,1,-11.642456,-7.751465,1,-6.80542,-11.611938,1,0.030517578,-12.161255,1
542,-0.6713867,11.383057,1,-8.43811,4.2877197,1,-0.06651973724365234,-2.8478591442108154,1,-12.161255,-7.6141357,1,-7.4310303,-11.535645,1,-0.579834,-12.161255,1
543,-1.1444092,11.367798,1,-8.850098,4.3792725,1,-0.5463771820068359,-2.835172176361084,1,-12.6953125,-7.461548,1,-8.056641,-11.474609,1,-1.1749268,-12.161255,1
544,-1.4648438,11.3220215,1,-9.262085,4.425049,1,-0.9595794677734375,-2.790794610977173,1,-13.137817,-7.3394775,1,-8.590698,-11.413574,1,-1.8615723,-12.22229,1
545,-1.739502,11.383057,1,-9.613037,4.4403076,1,-1.3902511596679688,-2.866250514984131,1,-13.656616,-7.171631,1,-9.094238,-11.291504,1,-2.39563,-12.161255,1
546,-1.9989014,11.444092,1,-9.963989,4.547119,1,-1.7584829330444336,-2.7788381576538086,1,-14.099121,-6.866455,1,-9.735107,-11.184692,1,-3.0517578,-12.191772,1
547,-2.3040771,11.474609,1,-10.238647,4.623413,1,-2.135955810546875,-2.816100835800171,1,-14.556885,-6.652832,1,-10.238647,-11.047363,1,-3.616333,-12.145996,1
548,-2.5482178,11.489868,1,-10.559082,4.6844482,1,-2.5190200805664062,-2.8227083683013916,1,-15.014648,-6.4086914,1,-10.864258,-10.910034,1,-4.272461,-12.161255,1
549,-2.7770996,11.535645,1,-10.848999,4.8217773,1,-2.942903518676758,-2.8263378143310547,1,-15.50293,-6.1798096,1,-11.398315,-10.772705,1,-4.989624,-12.161255,1
550,-3.0822754,11.535645,1,-11.077881,4.91333,1,-3.3226661682128906,-2.887735366821289,1,-15.945435,-5.996704,1,-11.901855,-10.681152,1,-5.554199,-12.130737,1
551,-3.2653809,11.520386,1,-11.398315,5.004883,1,-3.6629486083984375,-2.815864086151123,1,-16.326904,-5.7525635,1,-12.512207,-10.513306,1,-6.1798096,-12.130737,1
552,-3.5705566,11.520386,1,-11.672974,5.0201416,1,-4.045257568359375,-2.905635118484497,1,-16.76941,-5.569458,1,-13.031006,-10.482788,1,-6.744385,-12.130737,1
553,-3.829956,11.520386,1,-12.008667,5.0964355,1,-4.462533950805664,-2.907055377960205,1,-17.211914,-5.4473877,1,-13.565063,-10.314941,1,-7.3547363,-12.161255,1
554,-4.196167,11.474609,1,-12.329102,5.065918,1,-4.894352912902832,-3.0411477088928223,1,-17.700195,-5.279541,1,-14.099121,-10.284424,1,-7.9345703,-12.161255,1
555,-4.486084,11.459351,1,-12.710571,5.0964355,1,-5.3087263107299805,-3.0406811237335205,1,-18.1427,-5.1116943,1,-14.755249,-10.223389,1,-8.605957,-12.207031,1
556,-4.7454834,11.428833,1,-12.9852295,5.126953,1,-5.687746047973633,-3.1038875579833984,1,-18.554688,-4.9591064,1,-15.289307,-10.101318,1,-9.216309,-12.237549,1
557,-5.0354004,11.383057,1,-13.305664,5.1727295,1,-6.110962867736816,-3.1481049060821533,1,-19.012451,-4.7454834,1,-15.823364,-10.040283,1,-9.841919,-12.237549,1
558,-5.340576,11.352539,1,-13.580322,5.218506,1,-6.471397399902344,-3.1757285594940186,1,-19.39392,-4.5928955,1,-16.38794,-9.963989,1,-10.406494,-12.237549,1
559,-5.5236816,11.3220215,1,-13.809204,5.2337646,1,-6.880489349365234,-3.3098254203796387,1,-19.836426,-4.3792725,1,-16.921997,-9.902954,1,-11.062622,-12.22229,1
560,-5.7678223,11.245728,1,-14.038086,5.2490234,1,-7.245954513549805,-3.4035446643829346,1,-20.217896,-4.257202,1,-17.410278,-9.796143,1,-11.703491,-12.207031,1
561,-5.9509277,11.184692,1,-14.23645,5.279541,1,-7.566362380981445,-3.467453956604004,1,-20.553589,-4.043579,1,-17.944336,-9.70459,1,-12.268066,-12.237549,1
562,-6.072998,11.09314,1,-14.434814,5.279541,1,-7.892339706420898,-3.5633108615875244,1,-20.889282,-3.8452148,1,-18.478394,-9.643555,1,-12.939453,-12.298584,1
563,-6.1950684,10.971069,1,-14.541626,5.2337646,1,-8.240449905395508,-3.7826175689697266,1,-21.240234,-3.7078857,1,-18.981934,-9.536743,1,-13.519287,-12.329102,1
564,-6.2713623,10.864258,1,-14.6484375,5.1574707,1,-8.522833824157715,-3.9791030883789062,1,-21.514893,-3.5247803,1,-19.439697,-9.490967,1,-14.11438,-12.34436,1
565,-6.3171387,10.726929,1,-14.678955,5.126953,1,-8.768964767456055,-4.150545120239258,1,-21.743774,-3.3416748,1,-19.973755,-9.338379,1,-14.785767,-12.390137,1
566,-6.378174,10.5896,1,-14.678955,5.0964355,1,-9.042608261108398,-4.3498125076293945,1,-21.987915,-3.1585693,1,-20.431519,-9.277344,1,-15.426636,-12.359619,1
567,-6.30188,10.391235,1,-14.73999,5.004883,1,-9.279413223266602,-4.544049263000488,1,-22.18628,-2.9907227,1,-20.858765,-9.216309,1,-15.991211,-12.374878,1
568,-6.2561035,10.147095,1,-14.694214,4.928589,1,-9.580951690673828,-4.8107404708862305,1,-22.43042,-2.8381348,1,-21.30127,-9.002686,1,-16.601562,-12.313843,1
569,-6.1035156,9.979248,1,-14.633179,4.852295,1,-9.72401237487793,-4.991490364074707,1,-22.506714,-2.6245117,1,-21.697998,-8.911133,1,-17.166138,-12.313843,1
570,-5.9661865,9.796143,1,-14.49585,4.7454834,1,-9.888507843017578,-5.243129730224609,1,-22.583008,-2.4414062,1,-22.064209,-8.758545,1,-17.807007,-12.268066,1
571,-5.79834,9.674072,1,-14.404297,4.714966,1,-10.027677536010742,-5.3768720626831055,1,-22.659302,-2.3040771,1,-22.43042,-8.651733,1,-18.371582,-12.329102,1
572,-5.630493,9.521484,1,-14.160156,4.6844482,1,-10.180883407592773,-5.570569038391113,1,-22.735596,-2.1972656,1,-22.842407,-8.605957,1,-18.966675,-12.313843,1
573,-5.4016113,9.490967,1,-14.022827,4.638672,1,-10.298513412475586,-5.711666107177734,1,-22.766113,-2.029419,1,-23.1781,-8.43811,1,-19.592285,-12.313843,1
574,-5.279541,9.414673,1,-13.793945,4.6539307,1,-10.42009162902832,-5.815888404846191,1,-22.842407,-1.9836426,1,-23.55957,-8.31604,1,-20.202637,-12.374878,1
575,-4.989624,9.44519,1,-13.549805,4.7302246,1,-10.568995475769043,-5.858201026916504,1,-22.949219,-1.8920898,1,-23.94104,-8.255005,1,-20.812988,-12.298584,1
576,-4.7302246,9.490967,1,-13.305664,4.837036,1,-10.658679962158203,-5.839735984802246,1,-23.010254,-1.7852783,1,-24.353027,-8.087158,1,-21.362305,-12.252808,1
577,-4.3029785,9.674072,1,-13.031006,5.0811768,1,-10.753332138061523,-5.680431365966797,1,-23.117065,-1.663208,1,-24.70398,-8.056641,1,-22.064209,-12.22229,1
578,-3.9520264,9.933472,1,-12.771606,5.3253174,1,-10.869275093078613,-5.508940696716309,1,-23.239136,-1.5106201,1,-25.100708,-7.8430176,1,-22.583008,-12.10022,1
579,-3.540039,10.147095,1,-12.481689,5.5999756,1,-10.934247970581055,-5.290637016296387,1,-23.31543,-1.3275146,1,-25.421143,-7.6141357,1,-23.208618,-12.008667,1
580,-3.0670166,10.421753,1,-12.130737,5.8135986,1,-10.81778335571289,-5.107763290405273,1,-23.208618,-1.1749268,1,-25.665283,-7.3394775,1,-23.757935,-11.917114,1
581,-2.6397705,10.665894,1,-11.703491,5.996704,1,-10.686380386352539,-4.956171989440918,1,-23.086548,-1.0528564,1,-25.909424,-7.1868896,1,-24.276733,-11.856079,1
582,-2.1209717,10.818481,1,-11.3220215,6.210327,1,-10.620990753173828,-4.767313003540039,1,-23.05603,-0.9765625,1,-26.138306,-7.0648193,1,-24.82605,-11.764526,1
583,-1.6479492,11.0321045,1,-10.879517,6.4697266,1,-10.446684837341309,-4.521753787994385,1,-22.918701,-0.8544922,1,-26.306152,-6.8969727,1,-25.360107,-11.672974,1
584,-1.1901855,11.21521,1,-10.391235,6.8511963,1,-10.264488220214844,-4.148073196411133,1,-22.81189,-0.74768066,1,-26.473999,-6.7749023,1,-25.802612,-11.520386,1
585,-0.6561279,11.444092,1,-9.918213,7.156372,1,-9.907413482666016,-3.8436226844787598,1,-22.506714,-0.64086914,1,-26.550293,-6.4849854,1,-26.184082,-11.398315,1
586,-0.21362305,11.703491,1,-9.506226,7.4157715,1,-9.495540618896484,-3.584224224090576,1,-22.125244,-0.50354004,1,-26.382446,-6.210327,1,-26.473999,-11.169434,1
587,0.19836426,12.008667,1,-9.002686,7.6904297,1,-8.654726028442383,-3.3040647506713867,1,-21.270752,-0.16784668,1,-25.909424,-5.5999756,1,-26.565552,-10.803223,1
588,0.62561035,12.329102,1,-8.575439,7.888794,1,-7.700911045074463,-3.076387405395508,1,-20.202637,0.48828125,1,-24.978638,-4.8065186,1,-26.59607,-10.3302,1
589,1.0375977,12.634277,1,-8.071899,8.132935,1,-6.607022762298584,-2.769089698791504,1,-18.844604,1.6174316,1,-23.284912,-3.7841797,1,-26.123047,-9.872437,1
590,1.4190674,12.908936,1,-7.5683594,8.4991455,1,-5.482504367828369,-2.301280975341797,1,-17.410278,2.8686523,1,-21.057129,-2.9449463,1,-24.307251,-9.506226,1
591,1.8615723,13.22937,1,-7.0343018,9.033203,1,-4.448016166687012,-1.6584339141845703,1,-16.189575,3.9215088,1,-18.692017,-2.3040771,1,-21.362305,-9.292603,1
592,2.2888184,13.534546,1,-6.5460205,9.536743,1,-3.429257392883301,-1.0124635696411133,1,-15.136719,4.638672,1,-16.433716,-1.876831,1,-18.005371,-9.20105,1
593,2.6550293,13.809204,1,-6.0577393,9.94873,1,-2.512052059173584,-0.46415042877197266,1,-14.312744,4.989624,1,-14.511108,-1.4190674,1,-14.61792,-8.987427,1
594,2.960205,14.083862,1,-5.5999756,10.1623535,1,-1.736304759979248,-0.13677501678466797,1,-13.702393,4.9438477,1,-12.878418,-1.2359619,1,-12.054443,-8.651733,1
595,3.3111572,14.434814,1,-5.2337646,10.253906,1,-0.9975752830505371,0.10232067108154297,1,-13.214111,4.547119,1,-11.520386,-1.4190674,1,-10.192871,-8.407593,1
596,3.5705566,14.709473,1,-4.91333,10.192871,1,-0.23166608810424805,0.2388763427734375,1,-12.72583,3.829956,1,-10.253906,-1.8157959,1,-8.361816,-8.361816,1
597,3.829956,15.029907,1,-4.5166016,10.116577,1,0.737152099609375,0.45230960845947266,1,-12.039185,2.8533936,1,-8.81958,-2.4871826,1,-6.072998,-8.483887,1
