scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
80,120.407104,13.900757,1,113.31177,8.178711,1,124.107666015625,2.93958401679993,1,109.32922,-5.4626465,1,113.601685,-10.726929,1,119.72046,-12.207031,1
81,120.010376,13.885498,1,112.86926,8.224487,1,123.613868713379,2.88094568252563,1,108.73413,-5.340576,1,113.05237,-10.71167,1,118.98804,-12.191772,1
82,119.522095,13.839722,1,112.4115,8.224487,1,123.152137756348,2.87297749519348,1,108.184814,-5.1879883,1,112.30469,-10.604858,1,118.255615,-12.207031,1
83,119.24744,13.824463,1,112.01477,8.239746,1,122.685928344727,2.75100803375244,1,107.58972,-5.065918,1,111.77063,-10.604858,1,117.507935,-12.145996,1
84,118.759155,13.870239,1,111.66382,8.300781,1,122.242164611816,2.63522219657898,1,107.02515,-4.9438477,1,111.206055,-10.604858,1,116.760254,-12.130737,1
85,118.53027,13.870239,1,111.328125,8.346558,1,121.857719421387,2.59090423583984,1,106.536865,-4.776001,1,110.48889,-10.559082,1,116.05835,-12.10022,1
86,118.270874,13.870239,1,111.00769,8.422852,1,121.436416625977,2.48638248443604,1,105.98755,-4.6081543,1,109.84802,-10.437012,1,115.371704,-12.084961,1
87,118.011475,13.885498,1,110.702515,8.468628,1,121.078254699707,2.44003295898437,1,105.49927,-4.3640137,1,109.20715,-10.375977,1,114.6698,-12.054443,1
88,117.72156,13.900757,1,110.458374,8.544922,1,120.810333251953,2.4755687713623,1,105.148315,-4.135132,1,108.58154,-10.284424,1,114.01367,-12.084961,1
89,117.46216,13.946533,1,110.183716,8.529663,1,120.468330383301,2.34688758850098,1,104.69055,-3.982544,1,107.95593,-10.20813,1,113.32703,-12.054443,1
90,117.17224,13.916016,1,109.86328,8.575439,1,120.106674194336,2.32460737228394,1,104.24805,-3.7994385,1,107.33032,-10.20813,1,112.60986,-12.054443,1
91,116.94336,13.931274,1,109.58862,8.560181,1,119.764389038086,2.1998496055603,1,103.79028,-3.616333,1,106.68945,-10.040283,1,111.92322,-12.023926,1
92,116.57715,13.916016,1,109.32922,8.575439,1,119.449150085449,2.12662982940674,1,103.36304,-3.3721924,1,106.0791,-9.979248,1,111.26709,-12.008667,1
93,116.42456,13.916016,1,109.1156,8.621216,1,119.144683837891,2.03202676773071,1,102.96631,-3.189087,1,105.48401,-9.963989,1,110.51941,-12.008667,1
94,116.21094,13.916016,1,108.88672,8.712769,1,118.775955200195,1.91549158096313,1,102.508545,-3.0212402,1,104.904175,-9.872437,1,109.8938,-11.962891,1
95,115.997314,13.931274,1,108.688354,8.728027,1,118.495658874512,1.81305646896362,1,102.127075,-2.7770996,1,104.30908,-9.70459,1,109.191895,-11.978149,1
96,115.875244,13.916016,1,108.551025,8.758545,1,118.291961669922,1.75039529800415,1,101.85242,-2.5787354,1,103.79028,-9.674072,1,108.566284,-11.947632,1
